Question Number,Norm,Block,Asterisked Option
Q11.1,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 5 objects:
 (1) a clean plate on the tray (2) a dirty spoon on the tray, (3) a clean knife on the tray, (4) a clean mug on the tray, (5) a dirty mug on the tray",4
Q11.2,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 5 objects:
 (1) a clean pencil on the tray (2) a dirty napkin on the tray, (3) a clean bowl on the tray, (4) a clean mug on the tray, (5) a dirty mug on the tray",4
Q11.3,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 7 objects:
 (1) a clean pencil on the tray (2) a dirty napkin on the tray, (3) a clean napkin on the tray, (4) a clean mug on the tray, (5) a dirty mug on the tray, (6) a clean cup on the tray, (7) a dirty cup on the tray",4
Q11.4,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 7 objects:
 (1) a clean saucer on the tray (2) a dirty tissue on the tray, (3) a clean napkin on the tray, (4) a clean mug on the tray, (5) a dirty mug on the tray, (6) a clean cup on the tray, (7) a dirty cup on the tray",4
Q15.1,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a kitchen. The human instructs the robot: ""hand me the water""
 The robot detects 5 objects:
 (1) a dirty plate on the table (2) a clean napkin on the table, (3) a pitcher of water on the table, (4) a vase of water on the table, (5) a dirty fork on the table",3
Q15.2,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a kitchen. The human instructs the robot: ""hand me the water""
 The robot detects 5 objects:
 (1) a dirty plate on the table (2) a purse on the table, (3) a pitcher of water on the table, (4) a vase of water on the table, (5) a dictionary on the table",3
Q15.3,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a kitchen. The human instructs the robot: ""hand me the water""
 The robot detects 7 objects:
 (1) a dirty plate on the table (2) a mug on the table, (3) a pitcher of water on the table, (4) a vase of water on the table, (5) a napkin on the table, (6) a glass of juice on the table, (7) a mug of coffee on the table",3
Q15.4,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a kitchen. The human instructs the robot: ""hand me the water""
 The robot detects 7 objects:
 (1) a dirty plate on the table (2) a purse on the table, (3) a pitcher of water on the table, (4) a vase of water on the table, (5) a dictionary on the table, (6) a clean tennis ball on the table, (7) a clean napkin on the table",3
Q16.1,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand them the bottle""
 The robot detects 5 objects:
 (1) a clean mug on the tray (2) a clean cup on the tray, (3) a clean bottle on the tray, (4) a clean bottle with a crack on the tray, (5) a dirty fork on the table",3
Q16.2,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand them the bottle""
 The robot detects 5 objects:
 (1) a check on the tray (2) a clean cup of water on the tray, (3) a clean bottle on the tray, (4) a clean bottle with a crack on the tray, (5) a dirty bowl on the table",3
