prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Jordan and Taylor are in the restaurant. Jordan is cooking. Taylor is next to dirty fork, lamp, book, used fork, plant, clean fork. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
object(obj2).
property(obj2, lamp).
object(obj3).
property(obj3, book).
object(obj4).
property(obj4, used).
property(obj4, fork).
object(obj5).
property(obj5, plant).
object(obj6).
property(obj6, clean).
property(obj6, fork).
referring_expression(the_fork).",the fork,object6,clean fork
"Jordan and Taylor are in the banquet hall. Jordan is cooking. Taylor is next to used cup, dirty cup, calculator, notebook, clean cup, pen. Jordan asks Taylor to hand them the cup.",Jordan and Taylor,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, used).
property(obj1, cup).
object(obj2).
property(obj2, dirty).
property(obj2, cup).
object(obj3).
property(obj3, calculator).
object(obj4).
property(obj4, notebook).
object(obj5).
property(obj5, clean).
property(obj5, cup).
object(obj6).
property(obj6, pen).
referring_expression(the_cup).",the cup,object5,clean cup
"Cameron and Charlie are in the living room. Cameron is cooking. Charlie is next to document, stapler, dirty fork, paper clip, clean fork. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,living room,cooking,"setting(living_room).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, document).
object(obj2).
property(obj2, stapler).
object(obj3).
property(obj3, dirty).
property(obj3, fork).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, clean).
property(obj5, fork).
referring_expression(the_fork).",the fork,object5,clean fork
"Cameron and Charlie are in the kitchen. Cameron is cooking. Charlie is next to dirty mug, flashlight, clean mug, bottle opener, pair of scissors. Cameron asks Charlie to hand them the mug.",Cameron and Charlie,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, mug).
object(obj2).
property(obj2, flashlight).
object(obj3).
property(obj3, clean).
property(obj3, mug).
object(obj4).
property(obj4, bottle).
property(obj4, opener).
object(obj5).
property(obj5, pair).
property(obj5, of).
property(obj5, scissors).
referring_expression(the_mug).",the mug,object3,clean mug
"Jordan and Taylor are in the restaurant. Jordan is cooking. Taylor is next to greasy fork, used fork, dirty pan, clean fork, dirty fork, rolling pin, grater. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, greasy).
property(obj1, fork).
object(obj2).
property(obj2, used).
property(obj2, fork).
object(obj3).
property(obj3, dirty).
property(obj3, pan).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, dirty).
property(obj5, fork).
object(obj6).
property(obj6, rolling).
property(obj6, pin).
object(obj7).
property(obj7, grater).
referring_expression(the_fork).",the fork,object4,clean fork
"Jordan and Taylor are in the restaurant. Jordan is cooking. Taylor is next to dirty fork, snack bar, cookie, clean fork, water bottle. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
object(obj2).
property(obj2, snack).
property(obj2, bar).
object(obj3).
property(obj3, cookie).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, water).
property(obj5, bottle).
referring_expression(the_fork).",the fork,object4,clean fork
"Casey and Skyler are in the dining room. Casey is cooking. Skyler is next to apple, greasy bowl, dirty bowl, bread, banana, clean bowl. Casey asks Skyler to hand them the bowl.",Casey and Skyler,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, apple).
object(obj2).
property(obj2, greasy).
property(obj2, bowl).
object(obj3).
property(obj3, dirty).
property(obj3, bowl).
object(obj4).
property(obj4, bread).
object(obj5).
property(obj5, banana).
object(obj6).
property(obj6, clean).
property(obj6, bowl).
referring_expression(the_bowl).",the bowl,object6,clean bowl
"Casey and Skyler are in the living room. Casey is cooking. Skyler is next to bread, dirty spoon, apple, banana, clean spoon. Casey asks Skyler to hand them the spoon.",Casey and Skyler,living room,cooking,"setting(living_room).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, bread).
object(obj2).
property(obj2, dirty).
property(obj2, spoon).
object(obj3).
property(obj3, apple).
object(obj4).
property(obj4, banana).
object(obj5).
property(obj5, clean).
property(obj5, spoon).
referring_expression(the_spoon).",the spoon,object5,clean spoon
"Morgan and Riley are in the dining room. Morgan is cooking. Riley is next to used cup, screwdriver, dirty cup, hammer, wrench, clean cup. Morgan asks Riley to hand them the cup.",Morgan and Riley,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, used).
property(obj1, cup).
object(obj2).
property(obj2, screwdriver).
object(obj3).
property(obj3, dirty).
property(obj3, cup).
object(obj4).
property(obj4, hammer).
object(obj5).
property(obj5, wrench).
object(obj6).
property(obj6, clean).
property(obj6, cup).
referring_expression(the_cup).",the cup,object6,clean cup
"Cameron and Charlie are in the garden. Cameron is cooking. Charlie is next to dirty pan, grater, rolling pin, dirty plate, clean plate. Cameron asks Charlie to hand them the plate.",Cameron and Charlie,garden,cooking,"setting(garden).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, pan).
object(obj2).
property(obj2, grater).
object(obj3).
property(obj3, rolling).
property(obj3, pin).
object(obj4).
property(obj4, dirty).
property(obj4, plate).
object(obj5).
property(obj5, clean).
property(obj5, plate).
referring_expression(the_plate).",the plate,object5,clean plate
"Morgan and Riley are in the banquet hall. Morgan is cooking. Riley is next to dirty cup, greasy cup, clean cup, spatula, ladle, whisk, used cup. Morgan asks Riley to hand them the cup.",Morgan and Riley,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, dirty).
property(obj1, cup).
object(obj2).
property(obj2, greasy).
property(obj2, cup).
object(obj3).
property(obj3, clean).
property(obj3, cup).
object(obj4).
property(obj4, spatula).
object(obj5).
property(obj5, ladle).
object(obj6).
property(obj6, whisk).
object(obj7).
property(obj7, used).
property(obj7, cup).
referring_expression(the_cup).",the cup,object3,clean cup
"Morgan and Riley are in the garden. Morgan is cooking. Riley is next to calculator, clean spoon, pen, dirty spoon, notebook. Morgan asks Riley to hand them the spoon.",Morgan and Riley,garden,cooking,"setting(garden).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, calculator).
object(obj2).
property(obj2, clean).
property(obj2, spoon).
object(obj3).
property(obj3, pen).
object(obj4).
property(obj4, dirty).
property(obj4, spoon).
object(obj5).
property(obj5, notebook).
referring_expression(the_spoon).",the spoon,object2,clean spoon
"Jordan and Taylor are in the garden. Jordan is cooking. Taylor is next to used fork, water bottle, snack bar, clean fork, cookie, dirty fork. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,garden,cooking,"setting(garden).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, used).
property(obj1, fork).
object(obj2).
property(obj2, water).
property(obj2, bottle).
object(obj3).
property(obj3, snack).
property(obj3, bar).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, cookie).
object(obj6).
property(obj6, dirty).
property(obj6, fork).
referring_expression(the_fork).",the fork,object4,clean fork
