prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Morgan and Riley are in the restaurant. Morgan is serving. Riley is next to water bottle, used fork, clean fork, dirty fork, snack bar, cookie, clean spoon. Morgan asks Riley to hand them the fork.",Morgan and Riley,restaurant,serving,"setting(restaurant).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, water).
property(obj1, bottle).
object(obj2).
property(obj2, used).
property(obj2, fork).
object(obj3).
property(obj3, clean).
property(obj3, fork).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, snack).
property(obj5, bar).
object(obj6).
property(obj6, cookie).
object(obj7).
property(obj7, clean).
property(obj7, spoon).
referring_expression(the_fork).",the fork,object3,clean fork
"Cameron and Charlie are in the garden. Cameron is serving. Charlie is next to dirty spoon, clean spoon, greasy spoon, paintbrush, paint can, clean fork, sandpaper. Cameron asks Charlie to hand them the spoon.",Cameron and Charlie,garden,serving,"setting(garden).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, spoon).
object(obj2).
property(obj2, clean).
property(obj2, spoon).
object(obj3).
property(obj3, greasy).
property(obj3, spoon).
object(obj4).
property(obj4, paintbrush).
object(obj5).
property(obj5, paint).
property(obj5, can).
object(obj6).
property(obj6, clean).
property(obj6, fork).
object(obj7).
property(obj7, sandpaper).
referring_expression(the_spoon).",the spoon,object2,clean spoon
"Casey and Skyler are in the dining room. Casey is serving. Skyler is next to clean plate, greasy cup, dirty cup, whisk, clean cup, spatula, ladle. Casey asks Skyler to hand them the cup.",Casey and Skyler,dining room,serving,"setting(dining_room).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, clean).
property(obj1, plate).
object(obj2).
property(obj2, greasy).
property(obj2, cup).
object(obj3).
property(obj3, dirty).
property(obj3, cup).
object(obj4).
property(obj4, whisk).
object(obj5).
property(obj5, clean).
property(obj5, cup).
object(obj6).
property(obj6, spatula).
object(obj7).
property(obj7, ladle).
referring_expression(the_cup).",the cup,object5,clean cup
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to broom, empty spray bottle, clean bowl, clean plate, dirty plate, dustpan. Alex asks Bailey to hand them the plate.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, empty).
property(obj2, spray).
property(obj2, bottle).
object(obj3).
property(obj3, clean).
property(obj3, bowl).
object(obj4).
property(obj4, clean).
property(obj4, plate).
object(obj5).
property(obj5, dirty).
property(obj5, plate).
object(obj6).
property(obj6, dustpan).
referring_expression(the_plate).",the plate,object4,clean plate
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to dirty plate, magazine, remote control, throw pillow, clean fork, clean plate. Alex asks Bailey to hand them the plate.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
object(obj2).
property(obj2, magazine).
object(obj3).
property(obj3, remote).
property(obj3, control).
object(obj4).
property(obj4, throw).
property(obj4, pillow).
object(obj5).
property(obj5, clean).
property(obj5, fork).
object(obj6).
property(obj6, clean).
property(obj6, plate).
referring_expression(the_plate).",the plate,object6,clean plate
"Alex and Bailey are in the living room. Alex is serving. Bailey is next to apple, dirty cup, banana, used cup, clean cup, bread, clean fork. Alex asks Bailey to hand them the cup.",Alex and Bailey,living room,serving,"setting(living_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, apple).
object(obj2).
property(obj2, dirty).
property(obj2, cup).
object(obj3).
property(obj3, banana).
object(obj4).
property(obj4, used).
property(obj4, cup).
object(obj5).
property(obj5, clean).
property(obj5, cup).
object(obj6).
property(obj6, bread).
object(obj7).
property(obj7, clean).
property(obj7, fork).
referring_expression(the_cup).",the cup,object5,clean cup
"Morgan and Riley are in the banquet hall. Morgan is serving. Riley is next to used cup, whisk, dirty cup, ladle, clean fork, clean cup, spatula. Morgan asks Riley to hand them the cup.",Morgan and Riley,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, used).
property(obj1, cup).
object(obj2).
property(obj2, whisk).
object(obj3).
property(obj3, dirty).
property(obj3, cup).
object(obj4).
property(obj4, ladle).
object(obj5).
property(obj5, clean).
property(obj5, fork).
object(obj6).
property(obj6, clean).
property(obj6, cup).
object(obj7).
property(obj7, spatula).
referring_expression(the_cup).",the cup,object6,clean cup
"Alex and Bailey are in the restaurant. Alex is serving. Bailey is next to apple, clean mug, bread, greasy cup, clean cup, banana, dirty cup. Alex asks Bailey to hand them the cup.",Alex and Bailey,restaurant,serving,"setting(restaurant).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, apple).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, bread).
object(obj4).
property(obj4, greasy).
property(obj4, cup).
object(obj5).
property(obj5, clean).
property(obj5, cup).
object(obj6).
property(obj6, banana).
object(obj7).
property(obj7, dirty).
property(obj7, cup).
referring_expression(the_cup).",the cup,object5,clean cup
"Cameron and Charlie are in the dining room. Cameron is serving. Charlie is next to clean fork, clean bowl, dirty fork, calculator, pen, notebook. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,dining room,serving,"setting(dining_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, clean).
property(obj1, fork).
object(obj2).
property(obj2, clean).
property(obj2, bowl).
object(obj3).
property(obj3, dirty).
property(obj3, fork).
object(obj4).
property(obj4, calculator).
object(obj5).
property(obj5, pen).
object(obj6).
property(obj6, notebook).
referring_expression(the_fork).",the fork,object1,clean fork
"Cameron and Charlie are in the dining room. Cameron is serving. Charlie is next to dirty mug, stapler, document, clean mug, greasy mug, clean cup, paper clip, used mug. Cameron asks Charlie to hand them the mug.",Cameron and Charlie,dining room,serving,"setting(dining_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, mug).
object(obj2).
property(obj2, stapler).
object(obj3).
property(obj3, document).
object(obj4).
property(obj4, clean).
property(obj4, mug).
object(obj5).
property(obj5, greasy).
property(obj5, mug).
object(obj6).
property(obj6, clean).
property(obj6, cup).
object(obj7).
property(obj7, paper).
property(obj7, clip).
object(obj8).
property(obj8, used).
property(obj8, mug).
referring_expression(the_mug).",the mug,object4,clean mug
"Morgan and Riley are in the dining room. Morgan is serving. Riley is next to stapler, clean bowl, document, used bowl, clean plate, paper clip, dirty bowl, greasy bowl. Morgan asks Riley to hand them the bowl.",Morgan and Riley,dining room,serving,"setting(dining_room).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, stapler).
object(obj2).
property(obj2, clean).
property(obj2, bowl).
object(obj3).
property(obj3, document).
object(obj4).
property(obj4, used).
property(obj4, bowl).
object(obj5).
property(obj5, clean).
property(obj5, plate).
object(obj6).
property(obj6, paper).
property(obj6, clip).
object(obj7).
property(obj7, dirty).
property(obj7, bowl).
object(obj8).
property(obj8, greasy).
property(obj8, bowl).
referring_expression(the_bowl).",the bowl,object2,clean bowl
"Casey and Skyler are in the dining room. Casey is serving. Skyler is next to clean cup, pair of scissors, flashlight, clean spoon, dirty cup, bottle opener. Casey asks Skyler to hand them the cup.",Casey and Skyler,dining room,serving,"setting(dining_room).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, clean).
property(obj1, cup).
object(obj2).
property(obj2, pair).
property(obj2, of).
property(obj2, scissors).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, clean).
property(obj4, spoon).
object(obj5).
property(obj5, dirty).
property(obj5, cup).
object(obj6).
property(obj6, bottle).
property(obj6, opener).
referring_expression(the_cup).",the cup,object1,clean cup
"Cameron and Charlie are in the kitchen. Cameron is serving. Charlie is next to clean fork, clean mug, screwdriver, hammer, dirty fork, wrench. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,kitchen,serving,"setting(kitchen).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, clean).
property(obj1, fork).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, screwdriver).
object(obj4).
property(obj4, hammer).
object(obj5).
property(obj5, dirty).
property(obj5, fork).
object(obj6).
property(obj6, wrench).
referring_expression(the_fork).",the fork,object1,clean fork
"Alex and Bailey are in the kitchen. Alex is serving. Bailey is next to dirty fork, cookie, greasy fork, clean fork, clean plate, snack bar, water bottle. Alex asks Bailey to hand them the fork.",Alex and Bailey,kitchen,serving,"setting(kitchen).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
object(obj2).
property(obj2, cookie).
object(obj3).
property(obj3, greasy).
property(obj3, fork).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, clean).
property(obj5, plate).
object(obj6).
property(obj6, snack).
property(obj6, bar).
object(obj7).
property(obj7, water).
property(obj7, bottle).
referring_expression(the_fork).",the fork,object4,clean fork
"Cameron and Charlie are in the kitchen. Cameron is serving. Charlie is next to wrench, hammer, dirty fork, clean fork, clean spoon, screwdriver. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,kitchen,serving,"setting(kitchen).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, wrench).
object(obj2).
property(obj2, hammer).
object(obj3).
property(obj3, dirty).
property(obj3, fork).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, clean).
property(obj5, spoon).
object(obj6).
property(obj6, screwdriver).
referring_expression(the_fork).",the fork,object4,clean fork
"Alex and Bailey are in the restaurant. Alex is serving. Bailey is next to plant, clean mug, clean bowl, book, dirty mug, used mug, greasy mug, lamp. Alex asks Bailey to hand them the mug.",Alex and Bailey,restaurant,serving,"setting(restaurant).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, plant).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, clean).
property(obj3, bowl).
object(obj4).
property(obj4, book).
object(obj5).
property(obj5, dirty).
property(obj5, mug).
object(obj6).
property(obj6, used).
property(obj6, mug).
object(obj7).
property(obj7, greasy).
property(obj7, mug).
object(obj8).
property(obj8, lamp).
referring_expression(the_mug).",the mug,object2,clean mug
"Jordan and Taylor are in the living room. Jordan is serving. Taylor is next to flashlight, clean fork, used fork, dirty fork, clean spoon, bottle opener, pair of scissors. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,living room,serving,"setting(living_room).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, flashlight).
object(obj2).
property(obj2, clean).
property(obj2, fork).
object(obj3).
property(obj3, used).
property(obj3, fork).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, clean).
property(obj5, spoon).
object(obj6).
property(obj6, bottle).
property(obj6, opener).
object(obj7).
property(obj7, pair).
property(obj7, of).
property(obj7, scissors).
referring_expression(the_fork).",the fork,object2,clean fork
"Casey and Skyler are in the kitchen. Casey is serving. Skyler is next to clean cup, paint can, used plate, paintbrush, sandpaper, clean plate, dirty plate. Casey asks Skyler to hand them the plate.",Casey and Skyler,kitchen,serving,"setting(kitchen).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, clean).
property(obj1, cup).
object(obj2).
property(obj2, paint).
property(obj2, can).
object(obj3).
property(obj3, used).
property(obj3, plate).
object(obj4).
property(obj4, paintbrush).
object(obj5).
property(obj5, sandpaper).
object(obj6).
property(obj6, clean).
property(obj6, plate).
object(obj7).
property(obj7, dirty).
property(obj7, plate).
referring_expression(the_plate).",the plate,object6,clean plate
"Cameron and Charlie are in the kitchen. Cameron is serving. Charlie is next to snack bar, water bottle, dirty spoon, clean spoon, cookie, used spoon, clean mug, greasy spoon. Cameron asks Charlie to hand them the spoon.",Cameron and Charlie,kitchen,serving,"setting(kitchen).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, snack).
property(obj1, bar).
object(obj2).
property(obj2, water).
property(obj2, bottle).
object(obj3).
property(obj3, dirty).
property(obj3, spoon).
object(obj4).
property(obj4, clean).
property(obj4, spoon).
object(obj5).
property(obj5, cookie).
object(obj6).
property(obj6, used).
property(obj6, spoon).
object(obj7).
property(obj7, clean).
property(obj7, mug).
object(obj8).
property(obj8, greasy).
property(obj8, spoon).
referring_expression(the_spoon).",the spoon,object4,clean spoon
"Jordan and Taylor are in the garden. Jordan is serving. Taylor is next to dirty fork, clean mug, magazine, clean fork, greasy fork, used fork, remote control, throw pillow. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,garden,serving,"setting(garden).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, magazine).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, greasy).
property(obj5, fork).
object(obj6).
property(obj6, used).
property(obj6, fork).
object(obj7).
property(obj7, remote).
property(obj7, control).
object(obj8).
property(obj8, throw).
property(obj8, pillow).
referring_expression(the_fork).",the fork,object4,clean fork
"Alex and Bailey are in the dining room. Alex is serving. Bailey is next to clean bowl, document, stapler, paper clip, clean fork, dirty bowl. Alex asks Bailey to hand them the bowl.",Alex and Bailey,dining room,serving,"setting(dining_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, clean).
property(obj1, bowl).
object(obj2).
property(obj2, document).
object(obj3).
property(obj3, stapler).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, clean).
property(obj5, fork).
object(obj6).
property(obj6, dirty).
property(obj6, bowl).
referring_expression(the_bowl).",the bowl,object1,clean bowl
"Alex and Bailey are in the garden. Alex is serving. Bailey is next to rolling pin, clean plate, greasy mug, grater, clean mug, dirty mug, dirty pan. Alex asks Bailey to hand them the mug.",Alex and Bailey,garden,serving,"setting(garden).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, rolling).
property(obj1, pin).
object(obj2).
property(obj2, clean).
property(obj2, plate).
object(obj3).
property(obj3, greasy).
property(obj3, mug).
object(obj4).
property(obj4, grater).
object(obj5).
property(obj5, clean).
property(obj5, mug).
object(obj6).
property(obj6, dirty).
property(obj6, mug).
object(obj7).
property(obj7, dirty).
property(obj7, pan).
referring_expression(the_mug).",the mug,object5,clean mug
