prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Casey and Skyler are in the kitchen. Casey is cleaning. Skyler is next to broom in use, notebook, calculator, pen, broom. Casey asks Skyler to hand them the broom.",Casey and Skyler,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, in_use).
property(obj1, broom).
object(obj2).
property(obj2, notebook).
object(obj3).
property(obj3, calculator).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, broom).
referring_expression(the_broom).",the broom,object5,broom
"Alex and Bailey are in the kitchen. Alex is cleaning. Bailey is next to broom, bread, broom in use, banana, apple. Alex asks Bailey to hand them the broom.",Alex and Bailey,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, bread).
object(obj3).
property(obj3, in_use).
property(obj3, broom).
object(obj4).
property(obj4, banana).
object(obj5).
property(obj5, apple).
referring_expression(the_broom).",the broom,object1,broom
"Jordan and Taylor are in the kitchen. Jordan is cleaning. Taylor is next to rag in use, rag in use, rag in use, rag, paint can, sandpaper, paintbrush. Jordan asks Taylor to hand them the rag.",Jordan and Taylor,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, in_use).
property(obj1, rag).
object(obj2).
property(obj2, in_use).
property(obj2, rag).
object(obj3).
property(obj3, in_use).
property(obj3, rag).
object(obj4).
property(obj4, rag).
object(obj5).
property(obj5, paint_can).
object(obj6).
property(obj6, sandpaper).
object(obj7).
property(obj7, paintbrush).
referring_expression(the_rag).",the rag,object4,rag
"Jordan and Taylor are in the living room. Jordan is cleaning. Taylor is next to hammer, spray bottle in use, spray bottle in use, spray bottle in use, wrench, spray bottle, screwdriver. Jordan asks Taylor to hand them the spray bottle.",Jordan and Taylor,living room,cleaning,"setting(living_room).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, hammer).
object(obj2).
property(obj2, in_use).
property(obj2, spray_bottle).
object(obj3).
property(obj3, in_use).
property(obj3, spray_bottle).
object(obj4).
property(obj4, in_use).
property(obj4, spray_bottle).
object(obj5).
property(obj5, wrench).
object(obj6).
property(obj6, spray_bottle).
object(obj7).
property(obj7, screwdriver).
referring_expression(the_spray_bottle).",the spray bottle,object6,spray bottle
"Cameron and Charlie are in the garden. Cameron is cleaning. Charlie is next to paper clip, broom in use, document, stapler, broom. Cameron asks Charlie to hand them the broom.",Cameron and Charlie,garden,cleaning,"setting(garden).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, paper_clip).
object(obj2).
property(obj2, in_use).
property(obj2, broom).
object(obj3).
property(obj3, document).
object(obj4).
property(obj4, stapler).
object(obj5).
property(obj5, broom).
referring_expression(the_broom).",the broom,object5,broom
"Cameron and Charlie are in the dining room. Cameron is cleaning. Charlie is next to calculator, notebook, rag in use, rag, pen, rag in use. Cameron asks Charlie to hand them the rag.",Cameron and Charlie,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, calculator).
object(obj2).
property(obj2, notebook).
object(obj3).
property(obj3, in_use).
property(obj3, rag).
object(obj4).
property(obj4, rag).
object(obj5).
property(obj5, pen).
object(obj6).
property(obj6, in_use).
property(obj6, rag).
referring_expression(the_rag).",the rag,object4,rag
"Cameron and Charlie are in the garden. Cameron is cleaning. Charlie is next to broom, book, plant, broom in use, broom in use, lamp. Cameron asks Charlie to hand them the broom.",Cameron and Charlie,garden,cleaning,"setting(garden).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, book).
object(obj3).
property(obj3, plant).
object(obj4).
property(obj4, in_use).
property(obj4, broom).
object(obj5).
property(obj5, in_use).
property(obj5, broom).
object(obj6).
property(obj6, lamp).
referring_expression(the_broom).",the broom,object1,broom
"Jordan and Taylor are in the dining room. Jordan is cleaning. Taylor is next to rag in use, throw pillow, remote control, rag in use, rag, magazine. Jordan asks Taylor to hand them the rag.",Jordan and Taylor,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, in_use).
property(obj1, rag).
object(obj2).
property(obj2, throw_pillow).
object(obj3).
property(obj3, remote_control).
object(obj4).
property(obj4, in_use).
property(obj4, rag).
object(obj5).
property(obj5, rag).
object(obj6).
property(obj6, magazine).
referring_expression(the_rag).",the rag,object5,rag
"Morgan and Riley are in the kitchen. Morgan is cleaning. Riley is next to spray bottle, paint can, spray bottle in use, sandpaper, spray bottle in use, paintbrush. Morgan asks Riley to hand them the spray bottle.",Morgan and Riley,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, spray_bottle).
object(obj2).
property(obj2, paint_can).
object(obj3).
property(obj3, in_use).
property(obj3, spray_bottle).
object(obj4).
property(obj4, sandpaper).
object(obj5).
property(obj5, in_use).
property(obj5, spray_bottle).
object(obj6).
property(obj6, paintbrush).
referring_expression(the_spray_bottle).",the spray bottle,object1,spray bottle
"Jordan and Taylor are in the banquet hall. Jordan is cleaning. Taylor is next to wrench, spray bottle in use, spray bottle, screwdriver, hammer, spray bottle in use. Jordan asks Taylor to hand them the spray bottle.",Jordan and Taylor,banquet hall,cleaning,"setting(banquet_hall).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, wrench).
object(obj2).
property(obj2, in_use).
property(obj2, spray_bottle).
object(obj3).
property(obj3, spray_bottle).
object(obj4).
property(obj4, screwdriver).
object(obj5).
property(obj5, hammer).
object(obj6).
property(obj6, in_use).
property(obj6, spray_bottle).
referring_expression(the_spray_bottle).",the spray bottle,object3,spray bottle
