prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Casey and Skyler are in the living room. Casey is cleaning. Skyler is next to decorative plate, cookie, water bottle, snack bar, dirty plate, dirty bowl, clean plate. Casey asks Skyler to hand them the plate.",Casey and Skyler,living room,cleaning,"setting(living_room).
task(cleaning).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, plate).
object(obj2).
property(obj2, cookie).
object(obj3).
property(obj3, water).
property(obj3, bottle).
object(obj4).
property(obj4, snack).
property(obj4, bar).
object(obj5).
property(obj5, dirty).
property(obj5, plate).
object(obj6).
property(obj6, dirty).
property(obj6, bowl).
object(obj7).
property(obj7, clean).
property(obj7, plate).
referring_expression(the_plate).",the plate,object5,dirty plate
"Jordan and Taylor are in the banquet hall. Jordan is cleaning. Taylor is next to old cup, dirty fork, spatula, clean cup, whisk, dirty cup, ladle, decorative cup. Jordan asks Taylor to hand them the cup.",Jordan and Taylor,banquet hall,cleaning,"setting(banquet_hall).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, old).
property(obj1, cup).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
object(obj3).
property(obj3, spatula).
object(obj4).
property(obj4, clean).
property(obj4, cup).
object(obj5).
property(obj5, whisk).
object(obj6).
property(obj6, dirty).
property(obj6, cup).
object(obj7).
property(obj7, ladle).
object(obj8).
property(obj8, decorative).
property(obj8, cup).
referring_expression(the_cup).",the cup,object6,dirty cup
"Cameron and Charlie are in the kitchen. Cameron is cleaning. Charlie is next to dirty fork, dirty plate, spatula, whisk, ladle, clean fork. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
object(obj2).
property(obj2, dirty).
property(obj2, plate).
object(obj3).
property(obj3, spatula).
object(obj4).
property(obj4, whisk).
object(obj5).
property(obj5, ladle).
object(obj6).
property(obj6, clean).
property(obj6, fork).
referring_expression(the_fork).",the fork,object1,dirty fork
"Casey and Skyler are in the dining room. Casey is cleaning. Skyler is next to clean mug, dirty mug, clean pan, grater, old mug, dirty fork, rolling pin. Casey asks Skyler to hand them the mug.",Casey and Skyler,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, clean).
property(obj1, mug).
object(obj2).
property(obj2, dirty).
property(obj2, mug).
object(obj3).
property(obj3, clean).
property(obj3, pan).
object(obj4).
property(obj4, grater).
object(obj5).
property(obj5, old).
property(obj5, mug).
object(obj6).
property(obj6, dirty).
property(obj6, fork).
object(obj7).
property(obj7, rolling).
property(obj7, pin).
referring_expression(the_mug).",the mug,object2,dirty mug
"Jordan and Taylor are in the banquet hall. Jordan is cleaning. Taylor is next to dirty plate, ladle, spatula, clean cup, whisk, dirty cup. Jordan asks Taylor to hand them the cup.",Jordan and Taylor,banquet hall,cleaning,"setting(banquet_hall).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
object(obj2).
property(obj2, ladle).
object(obj3).
property(obj3, spatula).
object(obj4).
property(obj4, clean).
property(obj4, cup).
object(obj5).
property(obj5, whisk).
object(obj6).
property(obj6, dirty).
property(obj6, cup).
referring_expression(the_cup).",the cup,object6,dirty cup
"Jordan and Taylor are in the dining room. Jordan is cleaning. Taylor is next to decorative fork, measuring cup, oven mitt, dirty fork, clean fork, dirty spoon, plate rack. Jordan asks Taylor to hand them the fork.",Jordan and Taylor,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, decorative).
property(obj1, fork).
object(obj2).
property(obj2, measuring).
property(obj2, cup).
object(obj3).
property(obj3, oven).
property(obj3, mitt).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, clean).
property(obj5, fork).
object(obj6).
property(obj6, dirty).
property(obj6, spoon).
object(obj7).
property(obj7, plate).
property(obj7, rack).
referring_expression(the_fork).",the fork,object4,dirty fork
"Cameron and Charlie are in the kitchen. Cameron is cleaning. Charlie is next to broom, clean fork, dirty spoon, dirty fork, empty spray bottle, dustpan. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, clean).
property(obj2, fork).
object(obj3).
property(obj3, dirty).
property(obj3, spoon).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, empty).
property(obj5, spray).
property(obj5, bottle).
object(obj6).
property(obj6, dustpan).
referring_expression(the_fork).",the fork,object4,dirty fork
"Cameron and Charlie are in the kitchen. Cameron is cleaning. Charlie is next to dirty mug, snack bar, cookie, water bottle, decorative plate, dirty plate, clean plate. Cameron asks Charlie to hand them the plate.",Cameron and Charlie,kitchen,cleaning,"setting(kitchen).
task(cleaning).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, mug).
object(obj2).
property(obj2, snack).
property(obj2, bar).
object(obj3).
property(obj3, cookie).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, decorative).
property(obj5, plate).
object(obj6).
property(obj6, dirty).
property(obj6, plate).
object(obj7).
property(obj7, clean).
property(obj7, plate).
referring_expression(the_plate).",the plate,object6,dirty plate
"Jordan and Taylor are in the dining room. Jordan is cleaning. Taylor is next to dirty spoon, calculator, clean spoon, dirty bowl, notebook, decorative spoon, pen. Jordan asks Taylor to hand them the spoon.",Jordan and Taylor,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, spoon).
object(obj2).
property(obj2, calculator).
object(obj3).
property(obj3, clean).
property(obj3, spoon).
object(obj4).
property(obj4, dirty).
property(obj4, bowl).
object(obj5).
property(obj5, notebook).
object(obj6).
property(obj6, decorative).
property(obj6, spoon).
object(obj7).
property(obj7, pen).
referring_expression(the_spoon).",the spoon,object1,dirty spoon
"Morgan and Riley are in the dining room. Morgan is cleaning. Riley is next to decorative mug, dirty fork, clean mug, paintbrush, dirty mug, sandpaper, paint can. Morgan asks Riley to hand them the mug.",Morgan and Riley,dining room,cleaning,"setting(dining_room).
task(cleaning).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, decorative).
property(obj1, mug).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
object(obj3).
property(obj3, clean).
property(obj3, mug).
object(obj4).
property(obj4, paintbrush).
object(obj5).
property(obj5, dirty).
property(obj5, mug).
object(obj6).
property(obj6, sandpaper).
object(obj7).
property(obj7, paint).
property(obj7, can).
referring_expression(the_mug).",the mug,object5,dirty mug
