prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Morgan and Riley are in the garden. Morgan is serving. Riley is next to snack bar, cookie, bowl, decorative bowl, water bottle. Morgan asks Riley to hand them the bowl.",Morgan and Riley,garden,serving,"setting(garden).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, snack).
property(obj1, bar).
object(obj2).
property(obj2, cookie).
object(obj3).
property(obj3, bowl).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, water).
property(obj5, bottle).
referring_expression(the_bowl).",the bowl,object3,bowl
"Jordan and Taylor are in the dining room. Jordan is serving. Taylor is next to decorative bowl, decorative bowl, paper clip, stapler, document, bowl. Jordan asks Taylor to hand them the bowl.",Jordan and Taylor,dining room,serving,"setting(dining_room).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, decorative).
property(obj1, bowl).
object(obj2).
property(obj2, decorative).
property(obj2, bowl).
object(obj3).
property(obj3, paper).
property(obj3, clip).
object(obj4).
property(obj4, stapler).
object(obj5).
property(obj5, document).
object(obj6).
property(obj6, bowl).
referring_expression(the_bowl).",the bowl,object6,bowl
"Morgan and Riley are in the restaurant. Morgan is serving. Riley is next to plate, paint can, sandpaper, paintbrush, decorative plate, decorative plate. Morgan asks Riley to hand them the plate.",Morgan and Riley,restaurant,serving,"setting(restaurant).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, plate).
object(obj2).
property(obj2, paint).
property(obj2, can).
object(obj3).
property(obj3, sandpaper).
object(obj4).
property(obj4, paintbrush).
object(obj5).
property(obj5, decorative).
property(obj5, plate).
object(obj6).
property(obj6, decorative).
property(obj6, plate).
referring_expression(the_plate).",the plate,object1,plate
"Cameron and Charlie are in the living room. Cameron is serving. Charlie is next to mug, bottle opener, decorative mug, flashlight, pair of scissors. Cameron asks Charlie to hand them the mug.",Cameron and Charlie,living room,serving,"setting(living_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, mug).
object(obj2).
property(obj2, bottle).
property(obj2, opener).
object(obj3).
property(obj3, decorative).
property(obj3, mug).
object(obj4).
property(obj4, flashlight).
object(obj5).
property(obj5, pair).
property(obj5, of).
property(obj5, scissors).
referring_expression(the_mug).",the mug,object1,mug
"Cameron and Charlie are in the restaurant. Cameron is serving. Charlie is next to screwdriver, wrench, decorative bowl, hammer, bowl. Cameron asks Charlie to hand them the bowl.",Cameron and Charlie,restaurant,serving,"setting(restaurant).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, screwdriver).
object(obj2).
property(obj2, wrench).
object(obj3).
property(obj3, decorative).
property(obj3, bowl).
object(obj4).
property(obj4, hammer).
object(obj5).
property(obj5, bowl).
referring_expression(the_bowl).",the bowl,object5,bowl
"Morgan and Riley are in the restaurant. Morgan is serving. Riley is next to cup, notebook, decorative cup, pen, calculator, decorative cup. Morgan asks Riley to hand them the cup.",Morgan and Riley,restaurant,serving,"setting(restaurant).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, cup).
object(obj2).
property(obj2, notebook).
object(obj3).
property(obj3, decorative).
property(obj3, cup).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, calculator).
object(obj6).
property(obj6, decorative).
property(obj6, cup).
referring_expression(the_cup).",the cup,object1,cup
"Jordan and Taylor are in the living room. Jordan is serving. Taylor is next to screwdriver, tray, decorative tray, decorative tray, hammer, decorative tray, wrench. Jordan asks Taylor to hand them the tray.",Jordan and Taylor,living room,serving,"setting(living_room).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, screwdriver).
object(obj2).
property(obj2, tray).
object(obj3).
property(obj3, decorative).
property(obj3, tray).
object(obj4).
property(obj4, decorative).
property(obj4, tray).
object(obj5).
property(obj5, hammer).
object(obj6).
property(obj6, decorative).
property(obj6, tray).
object(obj7).
property(obj7, wrench).
referring_expression(the_tray).",the tray,object2,tray
"Morgan and Riley are in the living room. Morgan is serving. Riley is next to bowl, decorative bowl, document, decorative bowl, paper clip, stapler. Morgan asks Riley to hand them the bowl.",Morgan and Riley,living room,serving,"setting(living_room).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, bowl).
object(obj2).
property(obj2, decorative).
property(obj2, bowl).
object(obj3).
property(obj3, document).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, paper).
property(obj5, clip).
object(obj6).
property(obj6, stapler).
referring_expression(the_bowl).",the bowl,object1,bowl
"Morgan and Riley are in the garden. Morgan is serving. Riley is next to paint can, paintbrush, decorative mug, mug, decorative mug, sandpaper. Morgan asks Riley to hand them the mug.",Morgan and Riley,garden,serving,"setting(garden).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, paint).
property(obj1, can).
object(obj2).
property(obj2, paintbrush).
object(obj3).
property(obj3, decorative).
property(obj3, mug).
object(obj4).
property(obj4, mug).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, sandpaper).
referring_expression(the_mug).",the mug,object4,mug
"Cameron and Charlie are in the dining room. Cameron is serving. Charlie is next to empty spray bottle, decorative tray, tray, dustpan, broom. Cameron asks Charlie to hand them the tray.",Cameron and Charlie,dining room,serving,"setting(dining_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, empty).
property(obj1, spray).
property(obj1, bottle).
object(obj2).
property(obj2, decorative).
property(obj2, tray).
object(obj3).
property(obj3, tray).
object(obj4).
property(obj4, dustpan).
object(obj5).
property(obj5, broom).
referring_expression(the_tray).",the tray,object3,tray
"Jordan and Taylor are in the banquet hall. Jordan is serving. Taylor is next to bottle opener, decorative cup, flashlight, pair of scissors, cup, decorative cup. Jordan asks Taylor to hand them the cup.",Jordan and Taylor,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, bottle).
property(obj1, opener).
object(obj2).
property(obj2, decorative).
property(obj2, cup).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, pair).
property(obj4, of).
property(obj4, scissors).
object(obj5).
property(obj5, cup).
object(obj6).
property(obj6, decorative).
property(obj6, cup).
referring_expression(the_cup).",the cup,object5,cup
"Casey and Skyler are in the living room. Casey is serving. Skyler is next to decorative tray, tray, notebook, pen, calculator. Casey asks Skyler to hand them the tray.",Casey and Skyler,living room,serving,"setting(living_room).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, tray).
object(obj2).
property(obj2, tray).
object(obj3).
property(obj3, notebook).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, calculator).
referring_expression(the_tray).",the tray,object2,tray
"Casey and Skyler are in the restaurant. Casey is serving. Skyler is next to book, plant, tray, decorative tray, lamp, decorative tray. Casey asks Skyler to hand them the tray.",Casey and Skyler,restaurant,serving,"setting(restaurant).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, book).
object(obj2).
property(obj2, plant).
object(obj3).
property(obj3, tray).
object(obj4).
property(obj4, decorative).
property(obj4, tray).
object(obj5).
property(obj5, lamp).
object(obj6).
property(obj6, decorative).
property(obj6, tray).
referring_expression(the_tray).",the tray,object3,tray
"Casey and Skyler are in the restaurant. Casey is serving. Skyler is next to decorative cup, cup, magazine, throw pillow, remote control. Casey asks Skyler to hand them the cup.",Casey and Skyler,restaurant,serving,"setting(restaurant).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, cup).
object(obj2).
property(obj2, cup).
object(obj3).
property(obj3, magazine).
object(obj4).
property(obj4, throw).
property(obj4, pillow).
object(obj5).
property(obj5, remote).
property(obj5, control).
referring_expression(the_cup).",the cup,object2,cup
"Alex and Bailey are in the restaurant. Alex is serving. Bailey is next to decorative mug, document, stapler, paper clip, decorative mug, mug. Alex asks Bailey to hand them the mug.",Alex and Bailey,restaurant,serving,"setting(restaurant).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, decorative).
property(obj1, mug).
object(obj2).
property(obj2, document).
object(obj3).
property(obj3, stapler).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, mug).
referring_expression(the_mug).",the mug,object6,mug
"Alex and Bailey are in the kitchen. Alex is serving. Bailey is next to mug, book, decorative mug, lamp, decorative mug, plant. Alex asks Bailey to hand them the mug.",Alex and Bailey,kitchen,serving,"setting(kitchen).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, mug).
object(obj2).
property(obj2, book).
object(obj3).
property(obj3, decorative).
property(obj3, mug).
object(obj4).
property(obj4, lamp).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, plant).
referring_expression(the_mug).",the mug,object1,mug
"Casey and Skyler are in the kitchen. Casey is serving. Skyler is next to whisk, cup, spatula, decorative cup, ladle, decorative cup. Casey asks Skyler to hand them the cup.",Casey and Skyler,kitchen,serving,"setting(kitchen).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, whisk).
object(obj2).
property(obj2, cup).
object(obj3).
property(obj3, spatula).
object(obj4).
property(obj4, decorative).
property(obj4, cup).
object(obj5).
property(obj5, ladle).
object(obj6).
property(obj6, decorative).
property(obj6, cup).
referring_expression(the_cup).",the cup,object2,cup
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to cookie, decorative cup, snack bar, water bottle, cup. Alex asks Bailey to hand them the cup.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, cookie).
object(obj2).
property(obj2, decorative).
property(obj2, cup).
object(obj3).
property(obj3, snack).
property(obj3, bar).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, cup).
referring_expression(the_cup).",the cup,object5,cup
"Casey and Skyler are in the dining room. Casey is serving. Skyler is next to stapler, cup, document, paper clip, decorative cup. Casey asks Skyler to hand them the cup.",Casey and Skyler,dining room,serving,"setting(dining_room).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, stapler).
object(obj2).
property(obj2, cup).
object(obj3).
property(obj3, document).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, decorative).
property(obj5, cup).
referring_expression(the_cup).",the cup,object2,cup
"Casey and Skyler are in the banquet hall. Casey is serving. Skyler is next to decorative tray, tray, pair of scissors, bottle opener, flashlight, decorative tray. Casey asks Skyler to hand them the tray.",Casey and Skyler,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, tray).
object(obj2).
property(obj2, tray).
object(obj3).
property(obj3, pair).
property(obj3, of).
property(obj3, scissors).
object(obj4).
property(obj4, bottle).
property(obj4, opener).
object(obj5).
property(obj5, flashlight).
object(obj6).
property(obj6, decorative).
property(obj6, tray).
referring_expression(the_tray).",the tray,object2,tray
